file,sample_offset,category,token,bug_type,pid_presence,sessionid_presence,uuid_presence,incident_presence,time_token,hit_pos,context,TamperSuspect
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,61977,sr/lib/system/libsystem_pthread.dylib\n           0x2124af000 -        0x2124f6dbf  libxpc.dylib            <A46C2755-9586-33B8-9EA9-377F71175516>  /usr/lib/system/libxpc.dylib\n\n\nPowerstats for:   BackgroundShortcutRunner\nUUID:             FE401E8E-19FD-38C8-A4A8-78FA7A76D894\nPath:             /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/BackgroundShortcutRunner.xpc/BackgroundShortcutRunner\nI,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,63272,63c4cc98]\n          82  ??? (ToolKit + 1658168) [0x263dc4d38]\n            82  ??? (ToolKit + 117912) [0x263c4cc98]\n              81  ??? (ToolKit + 1653620) [0x263dc3b74]\n                81  ??? (BackgroundShortcutRunner + 58424) [0x10466a438]\n                  42  ??? (BackgroundShortcutRunner + 110216) [0x104676e88]\n                    37  ??? (BackgroundShortcutRunner + 124264) [0x10467a568]\n                   ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,63348,82  ??? (ToolKit + 117912) [0x263c4cc98]\n              81  ??? (ToolKit + 1653620) [0x263dc3b74]\n                81  ??? (BackgroundShortcutRunner + 58424) [0x10466a438]\n                  42  ??? (BackgroundShortcutRunner + 110216) [0x104676e88]\n                    37  ??? (BackgroundShortcutRunner + 124264) [0x10467a568]\n                      37  ??? (BackgroundShortcutRunner + 74776) [0x10466e418]\n               ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,63427,620) [0x263dc3b74]\n                81  ??? (BackgroundShortcutRunner + 58424) [0x10466a438]\n                  42  ??? (BackgroundShortcutRunner + 110216) [0x104676e88]\n                    37  ??? (BackgroundShortcutRunner + 124264) [0x10467a568]\n                      37  ??? (BackgroundShortcutRunner + 74776) [0x10466e418]\n                        37  ??? (ToolKit + 1659504) [0x263dc5270]\n                          3,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,63508,x10466a438]\n                  42  ??? (BackgroundShortcutRunner + 110216) [0x104676e88]\n                    37  ??? (BackgroundShortcutRunner + 124264) [0x10467a568]\n                      37  ??? (BackgroundShortcutRunner + 74776) [0x10466e418]\n                        37  ??? (ToolKit + 1659504) [0x263dc5270]\n                          37  ??? (ToolKit + 1647780) [0x263dc24a4]\n                            37  ??? (To,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,65949,be0]\n                                                                      37  ??? (ToolKit + 1659928) [0x263dc5418]\n                                                                        37  ??? (BackgroundShortcutRunner + 87944) [0x104671788]\n                                                                          37  ??? (BackgroundShortcutRunner + 75228) [0x10466e5dc]\n                                           ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,66081,                                                           37  ??? (BackgroundShortcutRunner + 87944) [0x104671788]\n                                                                          37  ??? (BackgroundShortcutRunner + 75228) [0x10466e5dc]\n                                                                            37  ??? (BackgroundShortcutRunner + 73136) [0x10466ddb0]\n                                         ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,66215,                                                         37  ??? (BackgroundShortcutRunner + 75228) [0x10466e5dc]\n                                                                            37  ??? (BackgroundShortcutRunner + 73136) [0x10466ddb0]\n                                                                              37  ??? (ToolKit + 1650752) [0x263dc3040]\n                                                      ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,66474,                                                                    37  ??? (ToolKit + 1650752) [0x263dc3040]\n                                                                                37  ??? (BackgroundShortcutRunner + 86980) [0x1046713c4]\n                                                                                  20  ??? (BackgroundShortcutRunner + 82212) [0x104670124]\n                                   ,Yes
part3.txt,0,MDM,BackgroundShortcutRunner,298,No,No,Yes,No,19:30:51.00,66614,                                                   37  ??? (BackgroundShortcutRunner + 86980) [0x1046713c4]\n                                                                                  20  ??? (BackgroundShortcutRunner + 82212) [0x104670124]\n                                                                                    20  ??? (ToolKit + 3192332) [0x263f3b60c]\n                                                ,Yes
