file,token,type,excerpt
Template-1.txt,triald,TRIALD-FRAGMENT,triald|cloudd|nsurlsessiond|CloudKitDaemon|proactive_event_tracker|STExtractionService|logpower|JetsamEvent|EraseDevice|logd|DroopCount|UNKNOWN PID`
Template-1.txt,通信,JP-TAMPER, **通信/エネルギー**  
