timestamp_local,action,duration,cause,modemErr,rat,raw_line
2025-06-09T22:28:33+07:00,ST [clm] disconnect,88,kNoError,145,2,"22:28:33 +0700 ST [clm] disconnect: duration=88;cause=kNoError;modemErr=145;rat=2"
2025-06-09T23:50:15+07:00,ST [clm] disconnect,6,kNoError,145,2,"23:50:15 +0700 ST [clm] disconnect: duration=6;cause=kNoError;modemErr=145;rat=2"
2025-06-09T09:40:50+07:00,ST [clm] disconnect,0,kUserBusy,146,2,"9:40:50 +0700 ST [clm] disconnect: duration=0;cause=kUserBusy;modemErr=146;rat=2"
