file,sample_offset,date_count,dates_found
part1.txt,0,1,2025-08-04
part1.txt,31975104,6,2025-06-10;2025-06-15;2025-06-16;2025-06-21;2025-07-01;2025-07-02
part1.txt,63950208,6,2025-06-03;2025-06-04;2025-06-08;2025-07-13;2025-07-22;2025-07-23
